time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
5.22,-0.054173268260002155,-0.10384293216466656,-0.049751450904016455,0.08014425720011382,-0.002868677568346066,-0.07728631507344962,0.04757643190945363,-0.19755149784736856,-0.1599950671504199,-0.13517286238402657,-0.13271986339957348,0.07542987019482587
5.222,-0.059804520770001146,-0.11284900540133512,-0.05313509571601777,0.08819062333121767,-0.0038823813281315053,-0.0841875957148512,0.023992578623238798,-0.20071154708447603,-0.15466029349532917,-0.11119184341152603,-0.11108139890517536,0.0666579872308727
5.224,-0.07283206616462858,-0.130740339514937,-0.05791000740907243,0.10405139557827275,-0.007432761429609743,-0.0965548749971715,-0.009876736570870433,-0.2227850000285739,-0.17422532989170872,-0.11780194214230678,-0.11969678541829855,0.02619424242616915
5.226,-0.08228638394425211,-0.14945821996838127,-0.0671233463053782,0.11822103438655725,-0.007384461932759279,-0.11098111643372079,-0.04086395657351321,-0.2384312350800168,-0.1908519122277401,-0.13706396991907116,-0.13953095245584357,-0.02071570396139255
5.228,-0.0902395428774176,-0.16017499100945715,-0.06991097931058725,0.12721964779948097,-0.01089985924728245,-0.11702765313254214,-0.057226299641673736,-0.21947321253860536,-0.17066931841787356,-0.1342998096121942,-0.13672369264721998,-0.03791665841291149
5.23,-0.08985568707709979,-0.15141275975286808,-0.06157170310631262,0.12195394057154324,-0.016244843436270397,-0.10732974998492333,-0.05531614529462539,-0.16897878370448027,-0.11417433070200052,-0.09671100593233298,-0.09916875260196274,-0.01777288959525195
5.232,-0.0669531738659326,-0.12972285599777109,-0.06279002032332005,0.09912313079452273,-0.004631932775648132,-0.09644757198396516,-0.03596780766023896,-0.11805845716648981,-0.05635352465046206,-0.04817953747002696,-0.050078954289907406,0.006681402535089042
5.234,-0.035827631963543466,-0.13099299718195104,-0.09516711326209248,0.0841426876903185,0.028076152832111775,-0.11315402969057123,-0.010591590035354159,-0.09402723849714034,-0.02900120606445778,-0.02125994586920248,-0.021970091212304792,-0.0033641591997248662
5.236,-0.031078028539776332,-0.17679886317770613,-0.1457105771417193,0.10491018725112675,0.057194118523563306,-0.16155994866870405,-0.004503971943276144,-0.09604257790183345,-0.03045009604448927,-0.02069338921166151,-0.02014157472396919,-0.04963089466145619
5.238,-0.054838589450308346,-0.23144469630312972,-0.17660025336568497,0.14450860312717181,0.061552512306403614,-0.20508798814697776,-0.031870289206518285,-0.1007290386531315,-0.032728330598602334,-0.02060237610604436,-0.018099856164718455,-0.09619183174379871
5.24,-0.0708469224431366,-0.23883257020212895,-0.16798844871291357,0.15667948112474664,0.04910537493068716,-0.20547434441016704,-0.07167833524128846,-0.08973524875295198,-0.013427900773093015,0.004329613714549003,0.009348364901654624,-0.11049381800529717
5.242,-0.05607231393894229,-0.19348912825675293,-0.13744328591291577,0.1268814905607796,0.040780032627238484,-0.16790130996603267,-0.09029459419800454,-0.06832983746452873,0.02262993825878792,0.05005553612569509,0.05557675907847681,-0.0964499083016203
5.244,-0.026506416388843157,-0.14350048536464766,-0.11714796054225082,0.08708135448239322,0.045247166237778164,-0.13236479588848435,-0.08223881452486773,-0.05511418815240576,0.052664125865067836,0.08830649460997378,0.09107308913195067,-0.08328866512273067
5.246,-0.008254006953495447,-0.12837090897322392,-0.12059540717766233,0.07020019541117217,0.05619145759382922,-0.12608819815041278,-0.06920909364948602,-0.058850521425601335,0.06216428517631018,0.0985324036957797,0.09842619772810257,-0.09013362064284006
5.248,-0.007234669188922012,-0.14148035620129512,-0.13514758333911794,0.07575991754696555,0.06393452734381949,-0.1396957128521187,-0.06707183957309824,-0.07161003764997038,0.0564276888184194,0.08776741288740049,0.08832713310250655,-0.11118983723605869
5.25,-0.01297904520204392,-0.15439318729274057,-0.1425734854980781,0.08443388263112865,0.06429464830749751,-0.14951377295439444,-0.07206580921835223,-0.0822787923390602,0.047910444624467294,0.0767393699125821,0.0807581160246992,-0.13211036006718727
5.252,-0.01659963635925955,-0.15486706853280388,-0.13937964419168247,0.08622976811982631,0.060066815458372724,-0.1478280789605288,-0.07283527459039241,-0.08915785251030103,0.04156441458119191,0.0754734169903779,0.08189265862961378,-0.14862946536786306
5.254,-0.016862386642833845,-0.15276007278123988,-0.13675391511678994,0.08551990323085604,0.057902164318842736,-0.14575872593830852,-0.06333833196365092,-0.09802938714026499,0.0362839440638988,0.07900367688983416,0.08452643457863321,-0.16558073461431216
5.256,-0.0162490263538136,-0.16084577051606647,-0.14517106460748005,0.08945402926564403,0.06227199641266417,-0.15483327837596841,-0.04757282199231305,-0.1127997241398149,0.032850186636668915,0.08065638101800644,0.0829814429465288,-0.1869123203718943
5.258,-0.018550936984724035,-0.17776797617791348,-0.1596111193984353,0.09918917432359145,0.06876688828739025,-0.17089206250890615,-0.034884170326638375,-0.12877603311043473,0.03435594372702261,0.08196356641138997,0.08091585599966782,-0.21322453126163554
5.26,-0.02699412594593045,-0.18891786182825884,-0.16221429750152622,0.10918133362147199,0.06616069817429682,-0.1771570107405747,-0.028354098023776978,-0.13425516810638594,0.04189952544754473,0.08960442332279644,0.08612778755103495,-0.24447520599132155
